sample_query,ground_truth_answer,source_document,category,page_reference
Who is treated as making a constructive addition to the trust?,S is not treated as making a constructive addition to the trust by reason of the tax apportionment clause in S's will.,CFR-2025-title26-vol16-sec26-2652-2.pdf,tax_doc,767
What is included in the support you provide?,the fair rental value of your out-of-pocket expenses of operating the car for your child’s benefit,irs_publication_501_dependents_standard_deduction_and_filing_informati.pdf,tax_doc,21
What does the Administrator do in carrying out section (j)(1)(D) with respect to a proposed project on State or private land?,"The Administrator provides an opportunity for cooperating persons and the public to participate in the Good Samaritan permit process, including carrying out environmental review and public comment procedures pursuant to subsection (l), and a public hearing, if requested.",good_samaritan_remediation_of_abandoned_hardrock_mines_act_of_2024.pdf,act,15
"How many maps are dated December 18, 2020?","Forty-two maps are dated December 18, 2020.",bolstering_ecosystems_against_coastal_harm_act.pdf,act,9
What is the standard the District contends for injunctive relief and damages?,The District's position is that bad faith or gross misjudgment is the correct standard across the board.,a_j_t_by_and_through_her_parents_a_t_et_al_v_osseo_area_schools_indepe.pdf,judgment,17
When must a Form 706GS(T) be filed?,"A Form 706GS(T) must be filed on or before the 15th day of the 4th month after the close of the calendar year in which the taxable termination occurred, or on or before the 10th month following the month in which the death that resulted in the taxable termination occurred, whichever is later.",CFR-2025-title26-vol16-sec26-2663-1.pdf,tax_doc,776
What percentage of over-claims was due to income reporting errors?,Errors in income reporting accounted for 21.4% of the over-claims.,The Earned Income Tax Credit (EITC) An Overview.pdf,pov,21
What is the minimum wage under the Fair Labor Standards Act?,Not answerable from provided documents,,unanswerable,
What agencies must the State consult with in developing a plan?,"The State, in developing the plan, consulted with appropriate public and nonprofit private agencies.",supporting_america.pdf,act,13
What are the requirements for obtaining a patent in the United States?,Not answerable from provided documents,,unanswerable,
What is the maximum new budget authority for advance appropriations in fiscal years 2025 and 2026?,"The maximum new budget authority for advance appropriations in each of those fiscal years is $28,852,000,000.",fiscal_responsibility_act_of_2023.pdf,act,13
How long do you have to change or cancel a scheduled payment with IRS Direct Pay?,You can change or cancel within 2 days of scheduled payment.,irs_publication_502_medical_and_dental_expenses.pdf,tax_doc,24
What is the typical function of a statute of limitations?,"Statutes of limitations serve a similar function to laches, providing a rule for determining whether a claim is timely enough to permit relief.",USREPORTS-580-328.pdf,judgment,7
How often must the Board develop and submit an annual report to Congress?,The Board shall develop and submit an annual report not later than February 1 of each fiscal year beginning after the date of enactment.,america.pdf,act,26
How long must pass after OMB's notification before payment can be made?,30 days,Middle Class Tax Relief and Job Creation Act of 2012.pdf,act,101
What does a valid contract require?,a valid contract requires offer and acceptance of its terms,a_j_t_by_and_through_her_parents_a_t_et_al_v_osseo_area_schools_indepe.pdf,judgment,21
How much in natural resource damage assessments does New Mexico allege it will incur?,"New Mexico alleges it will incur at least $3,625,000.",examining_the_future_of_pfas_cleanup_and_disposal_policy_everycrsrepor.pdf,pov,22
What is the purpose of the statute's definition of 'reasonable accommodation'?,The statute's definition of 'reasonable accommodation' makes sense for current employees or applicants but not for retirees.,stanley_v_city_of_sanford_florida.pdf,judgment,3
What must be included with the request for information from the IRS?,"The name, address, SSN (if known), and filing status (if known) of the parent whose information is to be shown on Form 8615.","Publication 929 (2021), Tax Rules for Children and Dependents.pdf",tax_doc,15
How far does the state of Texas extend its jurisdiction over water?,Texas extends its jurisdiction over an area of nine nautical miles from the baseline.,offshore_wind_energy_development_legal_framework_everycrsreportcom.pdf,pov,5
What types of property interests can the Secretary of the Interior grant on the OCS?,"The Secretary of the Interior can grant leases, easements, or rights-of-way on the Outer Continental Shelf.",offshore_wind_energy_development_legal_framework_everycrsreportcom.pdf,pov,7
How many amendments are in the US Constitution?,Not answerable from provided documents,,unanswerable,
What is the Additional Medicare Tax rate?,"A 0.9% Additional Medicare Tax applies to Medicare wages, RRTA compensation, and self-employment income that are more than certain thresholds.",irs_publication_517_social_security_for_members_of_the_clergy.pdf,tax_doc,9
